Nume,Prenume,Sex,Cod persoana,an,functie
Neagu,Ruxandra Maria,F,259,2006,judecător
Nebela,Silvia,F,80,2006,judecător
Petrişor,Nela,F,87,2006,judecător
Nicolae,Adina-Georgeta,F,82,2006,judecător
Nucă,Mihai Stănjenel,M,260,2006,judecător
Olaru,Maura,F,83,2006,judecător
Pantea,Paula,F,85,2006,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2006,judecător
Pistol,Ştefan,M,88,2006,judecător
Popa,Eugenia,F,89,2006,judecător
Popa,Rodica Aida,F,90,2006,judecător
Popescu,Doina,F,91,2006,judecător
Popescu,Iuliana,F,92,2006,judecător
Popescu,Veronica Carmen,F,93,2006,judecător
Popescu ,Zenovia Mariana,F,94,2006,judecător
Popov,Valerica,F,96,2006,judecător
Preda,Joiţa,F,97,2006,judecător
Prodan,Marioara,F,98,2006,judecător
Puşoiu,Iuliana,F,99,2006,judecător
Rădulescu,Veronica,F,100,2006,judecător
Săndulescu,Costmari,F,277,2006,judecător
Savin,Ana Alexandrina,F,102,2006,judecător
Sîrbu,Carmen,F,103,2006,judecător
Spineanu Matei,Octavia,F,104,2006,judecător
Stanciu,Livia Doina,F,105,2006,judecător
Stancu,Lidia,F,272,2006,judecător
Stecoza,Gabriela,F,106,2006,judecător
Ştefănescu,Mariana Brânduşa,F,108,2006,judecător
Surdescu,Ioana,F,107,2006,judecător
Tăbârcă,Mihaela,F,110,2006,judecător
Tarcea,Cristina Iulia,F,109,2006,judecător
Teau,Carmen Trănica,F,111,2006,judecător
Teodorescu,Georgeta,F,112,2006,judecător
Teodorescu,Margareta,F,113,2006,judecător
Teodorovici,Niculai,M,114,2006,judecător
Toacă,Dorica,F,115,2006,judecător
Toader,Camelia,F,116,2006,judecător
Vartires,Dana Iarina,F,118,2006,judecător
Vasile,Alixandri,M,119,2006,judecător
Viciu,Anca,F,120,2006,judecător
Voicescu,Gheorghe,M,274,2006,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2006,judecător
Zglimbea,Luminiţa,F,123,2006,judecător
Şerbănescu Cristide,Magdalena,F,280,2006,judecător
Popa,Nicolae,M,1,2006,preşedinte
Bîrsan,Gabriela Victoria,F,5,2006,preşedinte secţia administrativ contencios şi fiscal
Cornoiu,Dănuţ,M,30,2006,preşedinte secţia civiliă şi proprietate intelectuală
Lohan,Eugenia,F,4,2006,preşedinte secţia comercială
